text,label
"Queen Elizabeth Says: “Muslim Refugees Are Dividing Nationality, I Fully Agree With Donald Trump We Should…”(VIDEO)",fake
Obama Announces Bid To Become UN Secretary General – Usa News,fake
"Carolyn B. Maloney on Twitter: ""Women's health & wellbeing don’t seem to count in the math of the GOP's merciless #PayMoreForLess healthcare bill. We must not defund @PPFA!… https:",real
"Bill Clinton on Rush Limbaugh, His Mistakes, the Supreme Court and Middle East Peace",real
Donald Trump signs a visa-free travel policy for Ghana,fake
Social Security Online History Pages,real
BREAKING NEWS: Prince William and Harry donates $100 million to Hurricane Harvey Victims,fake
Political TV Ad Archive » PolAd,real
Press release Rep Barton Democrats stimulus will waste money abuse people and lead to unintended consequences,real
"Call 'Islamic terrorism' what it is: a threat to West, Jeb Bush says",real
What Carly is doing tonight – Carly Fiorina – Medium,real
Monthly Budget Review,real
Rising to a New Generation of Global Challenges,real
CHIP Enrollment: June 2011 Data Snapshot,real
Donald J. Trump on the Stakes of the Election,real
"Author Offers Insights on Slavery, the Capitol, and Obama's Inauguration",real
Michael Bennet for US Senate,real
Senate Democrats Demand Supreme Court Nominee Not Be Unduly Influenced By U.S. Constitution,fake
Writers May Have Pact. Huckabee Crosses Picket Line—Again,real
BREAKING: US comedian Kevin Hart in critical condition after gory car crash,fake
MoveOn.org Political Action: 10 things to know about McCain,real
Change We Can Believe In,real
Food Standards and Labeling Policy Book,real
Starbucks Just Placed Trump’s Photo on Floor so Every Customer have to Step On It….,fake
Chinese Lunar Rover Finds No Evidence Of American Moon Landings,fake
No More Dragging Up the Rear Arkansas Bows To Pressures To Put Schools To the Test,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
"Donald Trump, Billy Bush: Interview Scrambles Race",real
LexisNexis(R) Publisher,real
Social Security Trustees Report 2007,real
Massachusetts Department of Elementary and Secondary Education,real
9 celebrities who say they'll move to Canada if Donald Trump becomes president,fake
Barasso Ready to Question Kagan,real
The Kardashians donate whopping sum to Las Vegas mass shooting victims,fake
 Friendly Fire … Charlottesville Car attacker is antiTrump Antifa supporter,fake
CALIFORNIA DEMOCRAT MAXINE WATERS CHARGED ON 3 COUNTS. DO YOU SUPPORT THIS?,fake
Spicer: “Trump Has The Legal Right To Cancel SCOTUS Because They Serve At His Pleasure”,fake
Whoopi Goldberg: Navy SEAL Widow was “Looking for Attention”,fake
'This Week' Transcript: Kaine and Steele,real
"Most heroin in U.S. now comes across Mexican border, Rob Portman says",real
Senate Democrats news conference on the Senate Climate Action Task Force,real
State Of Minnesota Has Just Handed Over FULL CONTROL To Muslims So They Can Take Down ‘Infidels’,fake
PolitiFact’s annotated transcript of the second presidential debate,real
BREAKING: Conservative Icon Ted Nugent Killed In Hunting Accident,fake
Twelve More Hurricanes Headed Towards US,fake
Broward County Sheriff Fired For Lying About Parkland,fake
Florida passes bill legalizing recreational use of marijuana,fake
"3rd Democratic debate transcript, annotated: Who said what and what it meant",real
BREAKING: Rosa Parks’ Daughter Praises Trump’s Response to Charlottesville – forfreedomworld,fake
U.S. Solar Market Insight Report,real
"This Labor Day, we need protests",real
112-Year-Old Voters in North Carolina?,fake
"NYC: PHYSICIAN and Wife Jump To Death…Leave Kids Behind Because They “Can’t Afford The Health Care” Only Hours After McCain, Murkowski, Collins and EVERY Democrat Voted To Keep Obamacare -",fake
Dean Ralph Reed Fundraiser Reveals McCain Double Talk on Ethics,real
U.S. House Committee on Foreign Affairs,real
About Bright Horizons Child Care & Family Solutions,real
Press release AIG Discloses Counterparties to CDS GIA and Securities Lending Transactions,real
"As Dems’ “Stimulus” Anniversary Nears, Americans Ask: “Where are the Jobs?”",real
Forget Kiev. The Real Fight Will Be for Crimea,real
Laws Affecting Reproductive Health and Rights: 2013 State Policy Review,real
HRC Caught On Tape Laughing About Irma Wiping Out All Of Those Florida Hillbillies,fake
New York Man Wanted For Infecting 240 Men And Women With HIV!!!,fake
The Daily Show with Trevor Noah,real
'This Week' Transcript: Biden,real
The Des Moines Register,real
BREAKING: The Democrat James Comey Has Been Having An Affair With Was JUST REVEALED! (DETAILS),fake
Trump Vows to End Winter Heating Assistance for Elderly and Disabled – Our Voice,fake
CPAC 2013 - Former Governor Sarah Palin (R-AK),real
THIS ARTICLE RETRACTED: Red Crescent Says No Evidence of Chemical Attack in Syria’s Douma,fake
Poor and the nearpoor 1959 to 2006,real
The State of Working America 20067 pdf,real
Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,real
"Flight Crew Takes A Knee And Walks Off, Leaving New Orleans Saints Stranded On Runway",fake
"Mom applies a remedy to her baby, moments later he dies. Be careful with this, moms!",fake
BREAKING: Fox Star Tucker Carlson In Critical Condition After Head On Collision Driving Home,fake
"Rick Santorum: By amending constitution, we can balance the budget for good",real
"Singer Dolly Parton: “Trump In One Year Is Already Better Than 16 Years’ of Bush, Obama ‘Put Together’, This Stupid Liberals Doing Everything To Impeach Him But We Standing With Trump now And Forever.",fake
Peanut Product Recall Took Company Approval,real
Report on Geithners tax issues,real
"To young people who are undocumented: This is your country, too.",real
The Economic Burden Caused by Tax Code Complexity,real
New Jersey Police Chief Says Black People ‘Have No Value’ And Should All Be Executed,fake
roll call on Stupak amendment,real
BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,fake
Tulsa School closes after brutal fire.,fake
Local News Headlines Hawaii,real
05/27/99 Committee on the Judiciary,real
"Vladimir Putin's Approval Rating Hits All-Time High, Boosted by Syria Airstrikes",real
Rep Poe Interviewed on Fox Business Network,real
America's Enduring Strength,real
"Senator Charles Schumer NY November Midterm Elections, Nov 25 2014",real
The full transcript of the third presidential debate,real
Why the Public Option Isn't the Only Answer to Health-Care Reform,real
Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,fake
Texas Church Shooter Was Antifa Member Who Vowed To Start Civil War,fake
"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway",fake
"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",real
The Return of the Viral Email,real
BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -,fake
John Hagee Calls For “Prosecuting Women Who Say God’s Name During Intercourse”,fake
"Remarks by the President on the Economy -- Knox College, Galesburg, IL",real
Clinton Foundation Largest Unprosecuted Charity Fraud in History-Charles Ortel,fake
Testimony on the Alternative Minimum Tax,real
Eric Trump: It would be 'foolish' for my dad to release tax returns,fake
Obama Orders Life-Sized Bronze Statute of Himself To Be Permanently Installed in White House,fake
"Bin Laden is “Alive and well in the Bahamas”, says Edward Snowden",fake
Pope says that the rights of Muslim migrants trump any safety concerns that you might have with them in your country,fake
AFP: McCain renews attacks on Obama links to radical,real
BREAKING: Mike Huckabee Just Fired!,fake
'This Week' Transcript: Pelosi and Gates,real
'This Week' Transcript: Former Vice President Dick Cheney,real
Bureau of Labor Statistics Data,real
White House Chef Quits Because Trump Has Only Eaten Fast Food For 6 Months,fake
"McCain, Obama go head to head in last debate",real
A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her,fake
BREAKING: CZECH REPUBLIC ARMS CITIZENS – “YOU CAN NOW SHOOT TERRORISTS ON SIGHT”,fake
URGENT: proposed law would charge protesters with terrorism,fake
Friend of Israel also woos Palestinians Visiting Obama focuses on Israels right to defend itself,real
Melania Trump undergoes kidney surgery at Walter Reed medical center,fake
"Shields and Gerson on Cabinet Noms, Gun Laws, Boehner's Leadership | PBS NewsHour | Dec. 21, 2012",real
Barack Obama’s Remarks in St. Paul,real
'This Week' Transcript: Rep. Paul Ryan,real
Transcript of debate between Chris Coons and Christine ODonnell,real
Donald Trump featured in new jihadist recruitment video,real
"BREAKING: Trump fires Deputy Attorney General Rod Rosenstein, raising questions over Mueller’s fate",fake
Table B46 Employees on nonagricultural payrolls by major industry 19552006,real
"Senator Biden’s Remarks in Springfield, Ill.",real
McCain Blamed For Sabotaging Trump,fake
National Income and Product Accounts Table 175 Relation of Gross Domestic Product,real
"Penniless California issues IOUs to firms, clinics, taxpayers and students",real
Barack Obama says U.S. oil production last year was highest since 2003,real
Kim Jong Un Dead: North Koreans Calling Trump An Assassin,fake
Gore looking to turn idle fans into activists 3year ad campaign will feature enemies united on climate,real
Student Hasn't Stopped Filming Since Florida School Shooting,fake
"Remarks by the President at Campaign Event -- Colorado Springs, CO",real
Morgue employee cremated by mistake while taking a nap,fake
Thinking about writing in a candidate on Election Day? Read this before you do.,fake
Children - Obama for America TV Ad,real
Malia Obama Arrested With A Gang Of Thugs In Chicago,fake
Full text: Jeff Flake on Trump speech transcript,fake
Arizona Department of Public Safety,real
"Nancy Pelosi Suffers Breakdown, Taken From Capitol Hill On A Stretcher",fake
British Politician Beaten by Protestors for 'Welcoming Trump to the UK',fake
BREAKING! Roy Moore’s Accuser Worked for Democratic Leaders and Is Actively Campaigning for Moore’s Opponent ⋆ Activist Mommy,fake
‘NASA Confirms’ 15 Days Of Darkness Coming This Month,fake
Biden raises possibility of 2020 presidential bid,fake
Senator Bernie Sanders on Democratic Socialism in the United States,real
2007 Kaiser/HRET Employer Health Benefits Survey,real
A comprehensive investigation of voter impersonation finds 31 credible incidents out of one billion ballots cast,real
Breaking: Greitens Accuser Admits Photo Session May Have Been A “Dream”,fake
BREAKING: President Trump Pardons Kim Davis,fake
Delta targeted in online free airline ticket scam,fake
Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion,real
Investigators: Anthony Bourdain Was Killed By Clinton Operatives,fake
Rep. Vern Buchanan on Twitter,real
Transcript of Wednesday's presidential debate,real
Breaking: Mar-A-Lago Destroyed By Irma-Jared Kushner Still Missing,fake
'This Week' Transcript: Sen. Dianne Feinstein and Rep. Mike Rogers,real
Obama administration opens the door for states to seek major changes in welfaretowork law,real
Las Vegas Shooting Witnesses Report Multiple Gunmen Dressed as Security Guards Oct 3 2017,fake
deputy director of national health statistics in the Office of the Actuary at the Center for Medicare and Medicaid Services,real
Obama Promises Abortion in Public Plan,real
FBI uncovered Russian bribery plot before Obama administration approved controversial nuclear deal with Moscow,fake
TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their Presidencies,fake
"NASA Will Pay You $100,000 To Stay In Bed For 60 Days!",fake
"Singer Tina Turner: “This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.” Do You Support To Tina ? – American President Donald J. Tru",fake
Pastors To Protest IRS Rules on Political Advocacy,real
Democratic Leaders Say House Democrats Are United Against GOP Default Act,real
Remarks by the President at AFL CIO Labor Day Picnic,real
"Georgia Mosque KEEPS Hurricane Harvey Donations, Will Send To Syrian Refugees Instead",fake
Historical aggregate income by fifths and top 5 percent,real
Twitter Caught Leaking Donald Trump's Private Messages in Undercover Sting,fake
Planned Parenthood® Action Center,real
Clinton Campaign official arrested by FBI on child rape/trafficking charges,fake
BREAKING: PUTIN INTERFERENCE COULD GIVE COURTS LEGAL RIGHT TO MAKE HILLARY PRESIDENT,fake
BREAKING: MALIA OBAMA EXPELLED FROM HARVARD,fake
Police Find 19 White Female Bodies In Freezers With “Black Lives Matter” Carved Into Skin,fake
speech on the floor of the US House of Representatives,real
Snoop Dogg Arrested For Conspiracy After Talking About His ‘Murder Trump’ Video,fake
Patient Protection and Affordable Care Act,real
Snapchat is shutting down!,fake
"80% of black men in Atlanta are Homosexuals, study says",fake
"'This Week' Transcript: Hoyer, Boehner and Bill Gates",real
"Data on Campaign Finance, Super PACs, Industries, and Lobbying",real
Donald Trump to issue an executive order to ban Facebook across US,fake
Mike Pence: “Allowing Rape Victims To Have Abortions Will Lead To Women Trying To Get Raped”,fake
"New Star Wars Movie Filming Near Rosenberg, Texas, Large Number of Extras Needed – WBN 12 News",fake
RACE FOR CITY HALL: The Republican Candidate; A Mercurial Mayor's Confident Journey,real
No MidOct Paycheck for Troops if Government Shuts Down Lawmaker says,real
H.R.1025 - 103rd Congress (1993-1994): Brady Handgun Violence Prevention Act,real
transcript accessed via Nexis Mitt Romney Sends Taped Message to 2011 NRA Convention,real
Terror Suspects Are Buying Guns - and the FBI Can't Stop Them,real
BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs,fake
TPMtv Extra: South Carolina Ronald Reagan Debate,real
Obama’s Tax- Skipping – Audit Shows Millions In Offshore Accounts,fake
New York Election Results November 7,real
Senate begins health care debate amid calls for tort reforms,real
United Airlines Flight Attendant Slaps Crying Baby During Flight,fake
Remarks by the President at the Associated Press Luncheon,real
Create a Prank and trick your friends,fake
"A fake photo of Emma González went viral on the far right, where Parkland teens are villains",fake
Charleston Shooter Dylann Roof Moved to Death Row in Terre Haute Federal Prison,fake
An Open Letter to 'All Barack Channel',real
WATCH LIVE: Tim Kaine and Corey Stewart meet for first U.S. Senate debate in Virginia,real
TG-162: Treasury Announces $68 Billion in Expected CPP Repayments,real
"BOMBSHELL: COMEY KNEW MURDERED DNC STAFFER, SETH RICH, WAS WIKILEAKS SOURCE & COVERED IT UP FOR HILLARY",fake
AUTOS: The Dinosaur Hunter,real
REP. JENKINS: OPIOID CRISIS FUNDING SHOULD BE BASED ON NEED,real
Jim DeMint on Twitter,real
U.S. Senate: U.S. Senate Roll Call Votes 108th Congress,real
Southwest Airlines 2017,fake
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Washington State Legislature votes to change its name because George Washington owned Slaves,fake
"""Give Me a Break"" Americans Against Food Taxes TV Ad 2011",real
"Hillary Rodham Clinton, Senator for New York: Schumer, Clinton Announce Key Senate Panel Approves Over $1.3 Million for Labor, Health and Human Services Projects in the Hudson Valley",real
Jimmy Carter: “Medical Marijuana Cured My Cancer”,fake
Biden Issues Statement Following Conversation with Musharraf,real
John McCain for President,real
Leonardo DiCaprio Tells President Obama That He's Going to Mars,fake
ICE removal key goal of Democrats in 2020 election,fake
Sasse Statement on Trade War,real
Chairmans Mark Americas Healthy Future Act of 2009,real
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",real
BREAKING: Federal Judge Grants Permission To Subpoena Trump,fake
2011 via CQ subscribers only Tax Foundation,real
Rep. Michael McCaul (R-TX) Appears on Face the Nation,real
Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison,fake
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Food Stamp Enrollment Drops by Four Million in One Month,fake
"NRA President David Keene Rejects White House Gun Control Approach | PBS NewsHour | Jan. 15, 2013",real
3/8/14 Sen. Rob Portman (R-OH) delivers Weekly GOP Address on American jobs,real
A Solar Grand Plan: Scientific American,real
Breaking News: FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents,fake
Organizing for Action,real
US Government Accountability Office Report to Congressional Committees,real
Paul Ryan: “Donald Trump Plans To Resign From Office Within The Next 30 Days”,fake
Schneiderman suing Trump over DACA cites 'discriminatory animus',real
Planned Parenthood® Action Center,real
Pelosi urges minimum-wage hike,real
Congressman Pence Discusses House Republican Energy Bill on MSNBC's Morning Joe,real
"S.1591 - 104th Congress (1995-1996): A bill to prohibit campaign expenditures for services of lobbyists, and for other purposes.",real
Cravaack Passes Amendment to Improve US Aviation Security in Opposition to Obamas Planned Disarming of Federal Flight Deck Officers,real
U.S. Senate: U.S. Senate Roll Call Votes 111th Congress,real
Des Moines Register,real
"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",fake
Breaking down barriers for African Americans – Hillary for America – Medium,real
"'This Week' Transcript: Madeleine Albright, Sen. Lindsey Graham, Sen. Kent Conrad and David Cote",real
Watch a replay of Fox News' 5 p.m. presidential debate,real
"Statement from FDA Commissioner Scott Gottlieb, M.D., on FDA’s ongoing efforts to help improve effectiveness of influenza vaccines",fake
Reps Cummings and Cole Interviewed on MSNBC,real
Warren Buffett says the super-rich pay lower tax rates than others,real
International Energy Statistics,real
OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES,fake
George H.W. Bush has died at 94 – New York,fake
BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’,fake
The Tonight Show with Jay Leno,real
‘Americans need to stand together’: Hillary Clinton’s remarks following the Orlando shooting,real
"Peter Strzok, FBI Agent in Texting Scandal, Will Testify Before Congress",fake
"No Regrets for a Love Of Explosives; In a Memoir of Sorts, a War Protester Talks of Life With the Weathermen",real
Who Benefits from President Trump’s Child Care Proposals,real
 Breaking President Trump makes English the official language of the United States,fake
"300,000 Pounds of Counterfeit Rat Meat Has Been Sold as Chicken Wings in The U.S.",fake
STUNNING! Democrats BOO and GROAN at Trump Mention of Murder Victims of MS-13 Killers (VIDEO),fake
The CNN Democratic presidential debate in Texas,real
Rick Santorum sworn in as Pennsylvania’s newest senator,real
BREAKING: Nancy Pelosi Was Just Taken From Her Office In Handcuffs,fake
"Bill Gates: “I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.”",fake
Sen. Barack Obama's answer to meeting energy demands,real
Hispanic Populations Share of Wealth Likely to Increase by 2025,real
American News is under construction,fake
Puerto Rico Mayor Facing Fraud Charges Over $3M In Federal Disaster Relief,fake
The numbers don't lie... - Occupy Democrats,fake
Debt Day: A Symbol of Washington’s Arrogant Culture of Borrowing and Spending (Boehner Op-Ed on Townhall.com),real
Ted Cruz' Full 'Meet the Press' Interview,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Justice Department Memos on Interrogation Techniques,real
Cain said food stamp program use up under Obama,real
Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement,fake
'This Week' Transcript: Holder and Giuliani,real
Text - H.R.2122 - 106th Congress (1999-2000): Mandatory Gun Show Background Check Act,real
"McConnell, Webb, Jindal express uncertainty over Iran nuclear deal",real
IT BEGINS: California Appoints FIRST Illegal Alien to State Office – Trump Has Better Plan,fake
Transcript: House Majority Leader Boehner on 'FNS',real
"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'",fake
BREAKING: Barcelona Terrorist Has A Cousin In The US Named Barack,fake
 BREAKING Muslims’ Disturbing Plan Comes Out After Grocery Stores Go Bare To Prepare For Irma,fake
Melania Just Hit Donald Trump With Shocking Announcement He Never Saw Coming,fake
Rice told investigators why she unmasked Trump aides,fake
How Donald Trump Lost the 'War on Christmas',fake
Public financial disclosure report,real
BREAKING ObamaLed UN Has Just Made It Official US To Immediately Pay Blacks ‘Reparations’,fake
2011-2012 Wisconsin Legislature Documents,real
JUST IN: WaPo Reporter Who Broke News On Judge Roy Moore Story Has A Criminal History Of “Faking” * 100PercentFedUp.com,fake
Obama addresses key concerns for Floridians,real
Part 1 of CNN Democratic presidential debate,real
JUST IN: Barack Obama ARRESTED in a Japanese Drug Bust,fake
Texas law enforcement officer fatally shot upon arriving for work by 3 Muslim refugee. Do you support to deport them?,fake
Philando Castile Had Been Stopped 52 Times By Police,real
spreadsheet with key indicators from OECD Health Data 2009 health care expenditures per capita,real
Black Men Arrested In Philadelphia Starbucks Settle For $2 Million,fake
Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!,fake
Sale of the Etch A Sketch Brand,real
"Care Without Coverage: Too Little, Too Late",real
"First family visits D.C. shelter, highlights homeless veterans’ plight",fake
Job Openings and Labor Turnover Survey News Release,real
"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",fake
Striking it Richer The Evolution of Top Incomes in the United States update with 2007 estimates,real
Remarks by the President on Oil and Gas Subsidies,real
Rubio: “Rape Victims Should Be In Custody If There Is Suspicion That They’re Planning Abortion”,fake
The CNN porn scare is how fake news spreads,fake
"Hurricane Irma: If There Was Such A Thing As A Category 6 Hurricane, This Would Be It",fake
Pope Francis To Followers: “Koran And Holy Bible Are The Same”,fake
"Obama, Not Donald Trump, May Be Invited to Royal Wedding of Prince Harry and Meghan Markle",fake
Analysis of the 2008 Presidential Candidates’ Tax Plans,real
Summary of the Affordable Care Act,real
President Trump Underscores US-Jamaica Relations,fake
Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,real
"Ralph Nader on Barack Obama: ""It is Quite Clear He is a Corporate Candidate from A to Z""",real
'This Week' Transcript: Target Libya,real
Obama Demands Investigation into Subprime Loan Discrimination,real
Man pardoned by Obama ‘executed’ by masked men at halfway house,fake
"Paul Ryan: “22 Million Americans Choose To Be Poor, So It’s Their Own Problem If They Can’t Afford To Be Healthy”",fake
U.N. Official 'Accidentally' Crushes Own Throat Right Before Testifying Against Hillary Clinton,fake
Peace Through Strength and American Pride vs. “Enemy-Centric” Policy,real
H1N1 vaccinations to be offered to Guantanamo Bay detainees,real
"Actress Jennifer Aniston: “Me and All The Trump Supporter Celebrities Decide To Make A Company Named “Celebrities For Trump”, Which Fight Against All Anti Trump Celebrities, I Think President Trump Ne",fake
Carnival Cruise Lines will now offer FREE Cruises,fake
"Actor Brad Pitt: 'Trump Is Not My President, We Have No Future With This...'",fake
McCain Campaigns In Nashville,real
Obama Goes To G20 Summit,fake
BREAKING: Roy Moore’s Accuser Arrested And Charged With Falsification,fake
REPORT: Kim Jong Un Killed In Trump’s Overnight Black Op Attack On North Korea -,fake
Bachmann: “White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery”,fake
"Current-Law Distribution of Federal Taxes By Cash Income Percentiles, 2007",real
TSA: Frequently Asked Questions,real
Financial Rescue Nears GDP as Pledges Top 128 Trillion by Mark Pittman and Bob Ivry,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Debbie Wasserman Schultz Aide Arrested Trying to Flee the Country,fake
Las Vegas campaign rally,real
"Budget of the United States Government, FY 2008",real
"Bill Clinton Says He 'Never Said A Bad Word About Senator Obama,' At mtvU's First 'Editorial Board'",real
Public Campaign Action Fund,real
Radical Muslims in Australia OFFENDED That Their Children Have to Sing the National Anthem,fake
Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’,fake
Barack Obama says Mitt Romney condemned coal-fired power plants as killers,real
Transcript of Wednesday's presidential debate,real
Senate Passes Obama-Hagel Provision Aimed at Preventing Nuclear Terrorism,real
Inquiry Sought in Hillary Clinton’s Use of Email,real
and Surpluses or Deficits as Percentages of GDP 1930–2015,real
alternativemediasyndicate.com,fake
Executive Order Protecting the Nation from Foreign Terrorist Entry into the United States,real
"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead",fake
Political TV Ad Archive » PolAd,real
"9/11 families, others rally in favor of NYC mosque",real
PolitiFact’s annotated transcript of the second presidential debate,real
GDP and the Economy Final Estimates for the Third Quarter of 2007,real
Teamsters Tout ANWR on Capitol Hill,real
"ABC News Joins Obama In Ban Of American Flag Lapel Pins, Here’s What You Need To Know",fake
Hillary In Hiding As Police Discover Dead Body Hidden In Huma Abedin’s Dumpster,fake
Keanu on Trump travel ban: 'just terrible',fake
UPDATE: Hillary Clinton Leaves The Country As Mueller Indictment Is Announced,fake
Individual Income Tax Returns Publication 1304 (Complete Report),real
or Degrading Treatment of Punishment Text of International Covenant on Civil and Political Rights Text of Geneva Convention relative to the Treatment of Prisoners of War Text of Geneva Convention relative to the Protection of Civilian Persons in Time of War Text of Universal Declaration of Human Rights Jay Bybee assistant attorney general,real
